Artist,Album,Genre,Plays,Rating
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,3
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
30 Seconds To Mars,LOVE LUST FAITH + DREAMS,Rock : Alt-Rock,5,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,7,3.5
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,6,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,7,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,7,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,6,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,6,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,5,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,9,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,6,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,5,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,6,
A$AP Rocky,LONG.LIVE.A$AP,Hip-Hop : Rap,5,
Active Child,Rapor,Alternative : Chillwave,8,4
Active Child,Rapor,Alternative : Chillwave,5,
Active Child,Rapor,Alternative : Chillwave,7,
Active Child,Rapor,Alternative : Chillwave,6,
Active Child,Rapor,Alternative : Chillwave,7,
Active Child,Rapor,Alternative : Chillwave,6,
Agnes Obel,Aventine,Alternative : Indie Folk,5,3.5
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,6,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Agnes Obel,Aventine,Alternative : Indie Folk,5,
Alt-J,iTunes Session,Alternative : Art Rock,1,3
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alt-J,iTunes Session,Alternative : Art Rock,1,
Alter Bridge,Fortress,Rock : Alt-Rock,5,3
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,6,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Alter Bridge,Fortress,Rock : Alt-Rock,5,
Arcade Fire,Reflektor,Alternative : Indie Rock,5,3
Arcade Fire,Reflektor,Alternative : Indie Rock,7,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,7,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,5,
Arcade Fire,Reflektor,Alternative : Indie Rock,5,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,6,
Arcade Fire,Reflektor,Alternative : Indie Rock,1,
Arctic Monkeys,AM,Alternative : Indie Rock,5,4
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,6,
Arctic Monkeys,AM,Alternative : Indie Rock,7,
Ariana Grande,Yours Truly,Pop : 2010s,4,3
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,5,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,9,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Ariana Grande,Yours Truly,Pop : 2010s,5,
Ariana Grande,Yours Truly,Pop : 2010s,4,
Atoms For Peace,AMOK,Alternative : Indie Electronic,7,3.5
Atoms For Peace,AMOK,Alternative : Indie Electronic,13,
Atoms For Peace,AMOK,Alternative : Indie Electronic,10,
Atoms For Peace,AMOK,Alternative : Indie Electronic,10,
Atoms For Peace,AMOK,Alternative : Indie Electronic,10,
Atoms For Peace,AMOK,Alternative : Indie Electronic,8,
Atoms For Peace,AMOK,Alternative : Indie Electronic,18,
Atoms For Peace,AMOK,Alternative : Indie Electronic,16,
Atoms For Peace,AMOK,Alternative : Indie Electronic,11,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,3
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,6,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,7,
Au Revoir Simone,Move In Spectrums,Alternative : Indie Electronic,5,
