Artist,Album,Genre,Plays,Rating
Brandon Boyd,The Wild Trapeze,Rock : Alternative Pop Rock,5,
Brandon Boyd,The Wild Trapeze,Rock : Alternative Pop Rock,6,
Brandon Boyd,The Wild Trapeze,Rock : Alternative Pop Rock,6,
Brandon Boyd,The Wild Trapeze,Rock : Alternative Pop Rock,5,
Brandon Boyd,The Wild Trapeze,Rock : Alternative Pop Rock,5,
Brandon Boyd,The Wild Trapeze,Rock : Alternative Pop Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,6,3
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Bells,Broken Bells,Alternative : Indie Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,11,2.5
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,8,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,5,
Broken Social Scene,Forgiveness Rock Record,Alternative : Art Rock,2,
Caribou,Swim,Electronic : Tech House,5,3
Caribou,Swim,Electronic : Tech House,5,
Caribou,Swim,Electronic : Tech House,4,
Caribou,Swim,Electronic : Tech House,4,
Caribou,Swim,Electronic : Tech House,5,
Caribou,Swim,Electronic : Tech House,4,
Caribou,Swim,Electronic : Tech House,5,
Caribou,Swim,Electronic : Tech House,5,
Caribou,Swim,Electronic : Tech House,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,3,3.5
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,6,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,14,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,5,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Cee-Lo Green,The Lady Killer,Pop : Pop-Soul,4,
Christina Aguilera,Bionic,Pop : 2010s,5,2.5
Christina Aguilera,Bionic,Pop : 2010s,8,
Christina Aguilera,Bionic,Pop : 2010s,7,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,6,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,6,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,7,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Christina Aguilera,Bionic,Pop : 2010s,5,
Ciara,Basic Instinct,R&B : Urban,5,2.5
Ciara,Basic Instinct,R&B : Urban,21,
Ciara,Basic Instinct,R&B : Urban,9,
Ciara,Basic Instinct,R&B : Urban,12,
Ciara,Basic Instinct,R&B : Urban,5,
Ciara,Basic Instinct,R&B : Urban,7,
Ciara,Basic Instinct,R&B : Urban,9,
Ciara,Basic Instinct,R&B : Urban,5,
Ciara,Basic Instinct,R&B : Urban,14,
Ciara,Basic Instinct,R&B : Urban,6,
Ciara,Basic Instinct,R&B : Urban,8,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,10,3
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,17,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,14,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,15,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,15,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,12,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,15,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,16,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,15,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,13,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,11,
Coheed And Cambria,Year Of The Black Rainbow,Rock : New Prog,11,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,3
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,7,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,10,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,18,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,7,
Corinne Bailey Rae,The Sea,Pop : Pop-Soul,8,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,2.5
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
Dave Matthews & Tim Reynolds,Live In Las Vegas,Rock : Jam Band,1,
