Artist,Album,Genre,Plays,Rating
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,4,2.5
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,4,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,4,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,7,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,2,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
2 Chainz,Based On A T.R.U. Story,Hip-Hop : Trap Rap,3,
A Lion Named Roar,Foreign Land,Rock : Indie Pop,7,3.5
A Lion Named Roar,Foreign Land,Rock : Indie Pop,6,
A Lion Named Roar,Foreign Land,Rock : Indie Pop,5,
A Lion Named Roar,Foreign Land,Rock : Indie Pop,5,
A Lion Named Roar,Foreign Land,Rock : Indie Pop,5,
A Lion Named Roar,Foreign Land,Rock : Indie Pop,5,
alt-J,An Awesome Wave,Alternative : Art Rock,5,4
alt-J,An Awesome Wave,Alternative : Art Rock,5,
alt-J,An Awesome Wave,Alternative : Art Rock,10,
alt-J,An Awesome Wave,Alternative : Art Rock,6,
alt-J,An Awesome Wave,Alternative : Art Rock,5,
alt-J,An Awesome Wave,Alternative : Art Rock,6,
alt-J,An Awesome Wave,Alternative : Art Rock,6,
alt-J,An Awesome Wave,Alternative : Art Rock,6,
alt-J,An Awesome Wave,Alternative : Art Rock,6,
alt-J,An Awesome Wave,Alternative : Art Rock,5,
alt-J,An Awesome Wave,Alternative : Art Rock,5,
alt-J,An Awesome Wave,Alternative : Art Rock,5,
alt-J,An Awesome Wave,Alternative : Art Rock,5,
Active Child,Daytrotter Sessions,Alternative : Chillwave,1,2
Active Child,Daytrotter Sessions,Alternative : Chillwave,1,
Active Child,Daytrotter Sessions,Alternative : Chillwave,1,
Active Child,Daytrotter Sessions,Alternative : Chillwave,1,
Active Child,Daytrotter Sessions,Alternative : Chillwave,1,
Alberta Cross,Songs Of Patience,Alternative : Indie Rock,14,3
Alberta Cross,Songs Of Patience,Alternative : Indie Rock,5,
Alberta Cross,Songs Of Patience,Alternative : Indie Rock,6,
Alberta Cross,Songs Of Patience,Alternative : Indie Rock,5,
